Rank,City,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex
1,"New York, NY",100,100,100,100,100,100
2,"San Francisco, CA",89.8,114.37,101.52,87.84,82.1,140.77
3,"Anchorage, AK",88.11,37.88,64.14,88.27,67.87,123.26
4,"Oakland, CA",87.51,79.49,83.69,96.91,65.38,107.45
5,"Seattle, WA",87.08,65.88,76.96,83.55,79.75,132.56
6,"Boston, MA",84.65,75.36,80.22,86.62,76.8,115.55
7,"Honolulu, HI",84.44,63.72,74.55,84.41,71.85,83.65
8,"Washington, DC",84.1,76.49,80.47,83.47,75.69,115.92
9,"Portland, OR",82.22,49.06,66.4,86.36,65.05,101.76
10,"Charleston, SC",81.82,49.87,66.57,87.15,68.66,106.95
11,"San Jose, CA",81.34,83.88,82.55,79.47,74.08,140.09
12,"Chicago, IL",81.33,56.98,69.71,80.93,70.23,109.22
13,"Minneapolis, MN",80.66,43.7,63.02,79.14,69.49,122.02
14,"New Orleans, LA",79.06,40.91,60.86,82.94,66.56,97.17
15,"Philadelphia, PA",78.89,48.28,64.28,79.92,64.84,89.03
16,"Los Angeles, CA",78.56,71.21,75.06,76.19,77.45,108.14
17,"Pittsburgh, PA",78.13,35.99,58.02,81.6,60.04,114.87
18,"Cleveland, OH",77.29,37.34,58.22,82.39,62.07,99.99
19,"San Diego, CA",77.28,67.19,72.47,74.81,71.69,127.52
20,"Miami, FL",77.14,57.54,67.79,74.84,72.36,94.84
21,"Sacramento, CA",76.69,46.38,62.23,75.81,65.67,110.98
22,"Charlotte, NC",74.95,42.43,59.43,69.02,66.94,134.19
23,"Atlanta, GA",74.9,46.92,61.55,76.52,59.73,136.71
24,"Milwaukee, WI",74.86,33.86,55.29,74.8,64.75,99.13
25,"Jacksonville, FL",74.81,33.05,54.88,82.81,68.36,116.46
26,"Spokane, WA",74.61,30.04,53.34,75.71,67.69,100.3
27,"Baltimore, MD",74.08,42.9,59.2,71.72,67.05,118.68
28,"Tampa, FL",74.01,41.26,58.38,81.01,60.47,115.58
29,"Rochester, NY",73.51,29.77,52.64,74.29,66.02,98.89
30,"Nashville, TN",72.62,47.71,60.74,68,71.66,112.39
31,"Tucson, AZ",72.33,27.56,50.96,68.46,57.17,96.63
32,"Albany, NY",72.27,33.61,53.82,68.25,69.98,118.87
33,"Denver, CO",71.75,52.54,62.59,63.36,70.62,126.51
34,"Reno, NV",70.53,37.79,54.91,72.71,62.16,124.08
35,"Olympia, WA",70.35,40.52,56.11,68.78,62.16,116.23
36,"Columbus, OH",70.16,30.69,51.33,69.44,61.37,140.47
37,"Raleigh, NC",69.59,36.83,53.96,72.22,62.3,135.23
38,"Colorado Springs, CO",69.53,35.71,53.39,71.97,52.84,121.91
39,"Buffalo, NY",69.2,28.06,49.57,64.94,62.83,108.87
40,"Kansas City, MO",68.89,29.51,50.1,63.7,64.89,130.78
41,"Richmond, VA",68.23,33.91,51.85,66.75,66.1,123.01
42,"Las Vegas, NV",68.18,37.52,53.55,59.15,68.52,118.3
43,"Houston, TX",68.07,43.97,56.57,65.54,66.88,130.29
44,"Louisville, KY",68.03,30.74,50.24,67.24,68.05,113.93
45,"Eugene, OR",67.93,33.32,51.41,74.56,53.37,102.4
46,"Phoenix, AZ",67.72,36.44,52.79,65.7,58.91,123.65
47,"Orlando, FL",67.72,41.17,55.05,64.49,66.71,97.97
48,"Toledo, OH",67.3,20.95,45.18,67.6,57.62,112.82
49,"Des Moines, IA",67.15,28.75,48.83,70.52,53.11,123.51
50,"Indianapolis, IN",66.84,28.6,48.59,64.16,56.07,122.37
51,"San Antonio, TX",66.23,36.34,51.97,64.9,59.52,109.03
52,"Madison, WI",65.84,37.37,52.26,62.55,60.26,118.99
53,"Dallas, TX",65.59,48.64,57.5,59.7,61.8,145.74
54,"Albuquerque, NM",64.32,27.21,46.61,64.31,60.89,120.99
55,"Tulsa, OK",64.26,26.68,46.33,64.85,55.48,123.4
56,"Salt Lake City, UT",64.17,36.62,51.02,60.62,56.83,129.46
57,"Little Rock, AR",63.94,27.3,46.45,60.99,62.98,136.16
58,"Austin, TX",63.9,50.6,57.55,62.72,60.99,135.97
59,"Detroit, MI",63.75,39.5,52.18,63.59,50.52,84.71
60,"Cincinnati, OH",63.59,34.97,49.93,62.56,54.65,130.54
61,"Memphis, TN",62.12,25.51,44.65,56.43,55.97,126.5
62,"Huntsville, AL",60.82,29.34,45.8,63.98,53.66,146.61
63,"Boise, ID",58.72,35.11,47.45,50.29,60.66,105.28
